skill,course_name,provider,difficulty,duration,course_type,certification_available,url,skills_covered
Machine Learning,Machine Learning Specialization,DeepLearning.AI / Coursera,Intermediate,3 Months,Specialization,True,https://www.coursera.org/specializations/machine-learning-introduction,Machine Learning|Python|NumPy|Scikit-learn
Deep Learning,Deep Learning Specialization,DeepLearning.AI / Coursera,Intermediate,4 Months,Specialization,True,https://www.coursera.org/specializations/deep-learning,Deep Learning|Neural Networks|TensorFlow|Python
TensorFlow,TensorFlow Developer Professional Certificate,DeepLearning.AI / Coursera,Intermediate,2 Months,Professional Certificate,True,https://www.coursera.org/professional-certificates/tensorflow-in-practice,TensorFlow|Deep Learning|Computer Vision|NLP
PyTorch,Deep Neural Networks with PyTorch,IBM / Coursera,Intermediate,2 Months,Course,True,https://www.coursera.org/learn/deep-neural-networks-with-pytorch,PyTorch|Deep Learning|Python
Natural Language Processing,Natural Language Processing Specialization,DeepLearning.AI / Coursera,Advanced,3 Months,Specialization,True,https://www.coursera.org/specializations/natural-language-processing,NLP|Machine Learning|Deep Learning|Python
Computer Vision,Computer Vision with OpenCV and Deep Learning,Udemy,Advanced,2 Months,Course,False,https://www.udemy.com,Computer Vision|OpenCV|Python|Deep Learning
Data Analysis,Google Data Analytics Professional Certificate,Google / Coursera,Beginner,6 Months,Professional Certificate,True,https://www.coursera.org/professional-certificates/google-data-analytics,Data Analysis|SQL|Spreadsheets|Tableau|R
Data Science,IBM Data Science Professional Certificate,IBM / Coursera,Beginner,5 Months,Professional Certificate,True,https://www.coursera.org/professional-certificates/ibm-data-science,Data Science|Python|SQL|Machine Learning|Data Visualization
Statistics,Statistics with Python Specialization,University of Michigan / Coursera,Beginner,2 Months,Specialization,True,https://www.coursera.org/specializations/statistics-with-python,Statistics|Python|Data Analysis
Pandas,Data Analysis with Pandas and Python,Udemy,Beginner,1 Month,Course,False,https://www.udemy.com,Pandas|NumPy|Python|Data Analysis
Tableau,Tableau Desktop Specialist Certification Prep,Udemy,Beginner,1 Month,Course,True,https://www.udemy.com,Tableau|Data Visualization|Business Intelligence
Power BI,Microsoft Power BI Data Analyst Professional Certificate,Microsoft / Coursera,Beginner,3 Months,Professional Certificate,True,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,Power BI|Data Analysis|Business Intelligence|DAX
Python,Python for Everybody Specialization,University of Michigan / Coursera,Beginner,4 Months,Specialization,True,https://www.coursera.org/specializations/python,Python|Data Structures|Web Scraping|Databases
SQL,SQL for Data Science,UC Davis / Coursera,Beginner,4 Weeks,Course,True,https://www.coursera.org/learn/sql-for-data-science,SQL|Database Design|Data Analysis
