skill,category,aliases
Python,Programming,py|python programming
Java,Programming,java programming
C++,Programming,cpp|c plus plus
C,Programming,c programming
JavaScript,Programming,js|javascript programming
TypeScript,Programming,ts
C#,Programming,csharp|c sharp
PHP,Programming,php programming
R,Programming,r programming
Go,Programming,golang
Rust,Programming,rust programming
Kotlin,Programming,kotlin programming
Swift,Programming,swift programming
SQL,Database,structured query language
MySQL,Database,mysql database
PostgreSQL,Database,postgres|postgresql database
MongoDB,Database,mongodb database
SQLite,Database,sqlite database
Redis,Database,redis database
Oracle,Database,oracle database
Machine Learning,AI and Machine Learning,ml|machine-learning
Deep Learning,AI and Machine Learning,dl|deep-learning
Artificial Intelligence,AI and Machine Learning,ai|artificial intelligence
Natural Language Processing,AI and Machine Learning,natural lang processing
Computer Vision,AI and Machine Learning,cv|computer vision
Neural Networks,AI and Machine Learning,neural network
Scikit-learn,AI and Machine Learning,sklearn|scikit learn
TensorFlow,AI and Machine Learning,tensorflow
PyTorch,AI and Machine Learning,pytorch
Pandas,Data Science,pandas library
NumPy,Data Science,numpy
Data Analysis,Data Science,data analytics
Data Visualization,Data Science,data visualisation
Statistics,Data Science,statistical analysis
Matplotlib,Data Science,matplotlib
Seaborn,Data Science,seaborn
Tableau,Data Science,tableau
Power BI,Data Science,powerbi|power bi
Docker,DevOps,docker containers
Kubernetes,DevOps,k8s
Jenkins,DevOps,jenkins ci
Git,DevOps,github|git version control
GitHub,DevOps,github platform
CI/CD,DevOps,continuous integration|continuous deployment
Linux,DevOps,linux administration
AWS,Cloud Computing,amazon web services
Microsoft Azure,Cloud Computing,ms azure
Google Cloud Platform,Cloud Computing,gcp
EC2,Cloud Computing,amazon ec2
S3,Cloud Computing,amazon s3
Lambda,Cloud Computing,aws lambda
HTML,Web Development,html5
CSS,Web Development,css3
React,Web Development,reactjs|react js
Angular,Web Development,angularjs
Vue.js,Web Development,vue|vuejs
Node.js,Web Development,node|nodejs|node js
FastAPI,Web Development,fast api
Django,Web Development,django framework
Flask,Web Development,flask framework
REST API,Web Development,restful api|rest apis|api development
Spring Boot,Web Development,springboot
Android,Mobile Development,android development
Flutter,Mobile Development,flutter development
React Native,Mobile Development,react native development
Kotlin Android,Mobile Development,kotlin for android
Cybersecurity,Cybersecurity,cyber security|information security
Network Security,Cybersecurity,network security analysis|infosec networking
Ethical Hacking,Cybersecurity,ethical hacker|pentesting
Cryptography,Cybersecurity,cryptography
Wireshark,Cybersecurity,wireshark
Burp Suite,Cybersecurity,burpsuite
Communication,Soft Skills,communication skills
Teamwork,Soft Skills,team player|collaboration
Problem Solving,Soft Skills,problem-solving|problem solving skills
Leadership,Soft Skills,leadership skills
Critical Thinking,Soft Skills,analytical thinking
Time Management,Soft Skills,time management skills
Adaptability,Soft Skills,adaptable
Creativity,Soft Skills,creative thinking
Figma,Design,figma design
Adobe XD,Design,adobexd|adobe experience design
Sketch,Design,sketch app
UI Design,Design,user interface design|ui/ux design
UX Design,Design,user experience design
